"","chr","start","CHR_POS","region"
"19033","NC_031770.1",11176723,"NC_031770.1_11176723","Intergenic"
"19034","NC_031770.1",11176732,"NC_031770.1_11176732","Intergenic"
"19035","NC_031770.1",11176741,"NC_031770.1_11176741","Intergenic"
"19036","NC_031770.1",11176750,"NC_031770.1_11176750","Intergenic"
"19037","NC_031770.1",11176754,"NC_031770.1_11176754","Intergenic"
"19038","NC_031770.1",11176762,"NC_031770.1_11176762","Intergenic"
"19039","NC_031770.1",11176774,"NC_031770.1_11176774","Intergenic"
"19040","NC_031770.1",11176778,"NC_031770.1_11176778","Intergenic"
"19041","NC_031770.1",11176785,"NC_031770.1_11176785","Intergenic"
"19042","NC_031770.1",11176825,"NC_031770.1_11176825","Intergenic"
"19043","NC_031770.1",11176830,"NC_031770.1_11176830","Intergenic"
"19044","NC_031770.1",11176835,"NC_031770.1_11176835","Intergenic"
"19045","NC_031770.1",11176840,"NC_031770.1_11176840","Intergenic"
"19046","NC_031770.1",11176864,"NC_031770.1_11176864","Intergenic"
"19047","NC_031770.1",11176874,"NC_031770.1_11176874","Intergenic"
"19048","NC_031770.1",11176876,"NC_031770.1_11176876","Intergenic"
"19049","NC_031770.1",11176881,"NC_031770.1_11176881","Intergenic"
"19050","NC_031770.1",11176888,"NC_031770.1_11176888","Intergenic"
"19051","NC_031770.1",11176892,"NC_031770.1_11176892","Intergenic"
"19052","NC_031770.1",11176898,"NC_031770.1_11176898","Intergenic"
"19053","NC_031770.1",11176903,"NC_031770.1_11176903","Intergenic"
"19054","NC_031770.1",11176915,"NC_031770.1_11176915","Intergenic"
"19055","NC_031770.1",11176924,"NC_031770.1_11176924","Intergenic"
"19056","NC_031770.1",11176933,"NC_031770.1_11176933","Intergenic"
"19057","NC_031770.1",11176935,"NC_031770.1_11176935","Intergenic"
"19058","NC_031770.1",11176947,"NC_031770.1_11176947","Intergenic"
"19059","NC_031770.1",11176961,"NC_031770.1_11176961","Intergenic"
"19060","NC_031770.1",11176975,"NC_031770.1_11176975","Intergenic"
"19061","NC_031770.1",11177006,"NC_031770.1_11177006","Intergenic"
"19062","NC_031770.1",11177020,"NC_031770.1_11177020","Intergenic"
"19063","NC_031770.1",11177025,"NC_031770.1_11177025","Intergenic"
"19064","NC_031770.1",11177031,"NC_031770.1_11177031","Intergenic"
"19065","NC_031770.1",11177044,"NC_031770.1_11177044","Intergenic"
"19066","NC_031770.1",11177053,"NC_031770.1_11177053","Intergenic"
"19067","NC_031770.1",11189436,"NC_031770.1_11189436","Up- or downstream"
"19069","NC_031770.1",11189515,"NC_031770.1_11189515","Up- or downstream"
"19099","NC_031770.1",11293958,"NC_031770.1_11293958","Gene body"
"19101","NC_031770.1",11294056,"NC_031770.1_11294056","Gene body"
"19102","NC_031770.1",11294065,"NC_031770.1_11294065","Gene body"
"19105","NC_031770.1",11294750,"NC_031770.1_11294750","Gene body"
"19120","NC_031770.1",11299566,"NC_031770.1_11299566","Gene body"
"19127","NC_031770.1",11299724,"NC_031770.1_11299724","Gene body"
"19131","NC_031770.1",11377557,"NC_031770.1_11377557","Intergenic"
"19135","NC_031770.1",11377667,"NC_031770.1_11377667","Intergenic"
"19148","NC_031770.1",11532596,"NC_031770.1_11532596","Gene body"
"19149","NC_031770.1",11532652,"NC_031770.1_11532652","Gene body"
"19150","NC_031770.1",11532740,"NC_031770.1_11532740","Gene body"
"19151","NC_031770.1",11532747,"NC_031770.1_11532747","Gene body"
"19232","NC_031770.1",11925811,"NC_031770.1_11925811","Intergenic"
"19275","NC_031770.1",12137155,"NC_031770.1_12137155","TSS"
"19288","NC_031770.1",12151116,"NC_031770.1_12151116","Up- or downstream"
"19290","NC_031770.1",12688182,"NC_031770.1_12688182","Intergenic"
"19315","NC_031770.1",13119426,"NC_031770.1_13119426","Gene body"
"19318","NC_031770.1",13119809,"NC_031770.1_13119809","Gene body"
"19322","NC_031770.1",13119873,"NC_031770.1_13119873","Gene body"
"19324","NC_031770.1",13119894,"NC_031770.1_13119894","Gene body"
"19325","NC_031770.1",13119897,"NC_031770.1_13119897","Gene body"
"19365","NC_031770.1",13519088,"NC_031770.1_13519088","Gene body"
"19366","NC_031770.1",13519091,"NC_031770.1_13519091","Gene body"
"19412","NC_031770.1",14693815,"NC_031770.1_14693815","TSS"
"19428","NC_031770.1",14693921,"NC_031770.1_14693921","TSS"
"19429","NC_031770.1",14693930,"NC_031770.1_14693930","TSS"
"19527","NC_031770.1",16218596,"NC_031770.1_16218596","Gene body"
"19536","NC_031770.1",16218746,"NC_031770.1_16218746","Gene body"
"19620","NC_031770.1",17012948,"NC_031770.1_17012948","Gene body"
"19621","NC_031770.1",17013008,"NC_031770.1_17013008","Gene body"
"19666","NC_031770.1",17494260,"NC_031770.1_17494260","Gene body"
"19667","NC_031770.1",17494273,"NC_031770.1_17494273","Gene body"
"19669","NC_031770.1",17494287,"NC_031770.1_17494287","Gene body"
"19695","NC_031770.1",17740154,"NC_031770.1_17740154","Gene body"
"19743","NC_031770.1",18033787,"NC_031770.1_18033787","Intergenic"
"19747","NC_031770.1",18036662,"NC_031770.1_18036662","Intergenic"
"19753","NC_031770.1",18156212,"NC_031770.1_18156212","Intergenic"
"19842","NC_031770.1",20625576,"NC_031770.1_20625576","Intergenic"
"19890","NC_031770.1",20925058,"NC_031770.1_20925058","Gene body"
"19891","NC_031770.1",20925062,"NC_031770.1_20925062","Gene body"
"19898","NC_031770.1",20925152,"NC_031770.1_20925152","Gene body"
"19918","NC_031770.1",21366164,"NC_031770.1_21366164","Intergenic"
"19919","NC_031770.1",21366216,"NC_031770.1_21366216","Intergenic"
"20004","NC_031770.1",21609301,"NC_031770.1_21609301","Promoter"
"20086","NC_031770.1",22361977,"NC_031770.1_22361977","Intergenic"
"20087","NC_031770.1",22361985,"NC_031770.1_22361985","Intergenic"
"20088","NC_031770.1",22362016,"NC_031770.1_22362016","Intergenic"
"20089","NC_031770.1",22362018,"NC_031770.1_22362018","Intergenic"
"20090","NC_031770.1",22362067,"NC_031770.1_22362067","Intergenic"
"20091","NC_031770.1",22362080,"NC_031770.1_22362080","Intergenic"
"20139","NC_031770.1",22753836,"NC_031770.1_22753836","TSS"
"20173","NC_031770.1",23021375,"NC_031770.1_23021375","Gene body"
"20290","NC_031770.1",24733660,"NC_031770.1_24733660","Intergenic"
"20404","NC_031770.1",25186304,"NC_031770.1_25186304","Promoter"
"20418","NC_031770.1",25220925,"NC_031770.1_25220925","Gene body"
"20424","NC_031770.1",25434826,"NC_031770.1_25434826","Gene body"
"20425","NC_031770.1",25434832,"NC_031770.1_25434832","Gene body"
"20426","NC_031770.1",25434866,"NC_031770.1_25434866","Gene body"
"20430","NC_031770.1",25434916,"NC_031770.1_25434916","Gene body"
"20517","NC_031770.1",25637838,"NC_031770.1_25637838","Up- or downstream"
"20529","NC_031770.1",25647852,"NC_031770.1_25647852","Intergenic"
"20534","NC_031770.1",25685599,"NC_031770.1_25685599","Intergenic"
"20640","NC_031770.1",26333146,"NC_031770.1_26333146","Gene body"
"20641","NC_031770.1",26437415,"NC_031770.1_26437415","Gene body"
"20642","NC_031770.1",26437422,"NC_031770.1_26437422","Gene body"
"20644","NC_031770.1",26437475,"NC_031770.1_26437475","Gene body"
"20646","NC_031770.1",26593916,"NC_031770.1_26593916","Gene body"
"20649","NC_031770.1",26635542,"NC_031770.1_26635542","Intergenic"
"20650","NC_031770.1",26635704,"NC_031770.1_26635704","Intergenic"
"20666","NC_031770.1",26763494,"NC_031770.1_26763494","Intergenic"
"20669","NC_031770.1",26763629,"NC_031770.1_26763629","Intergenic"
"20675","NC_031770.1",26763736,"NC_031770.1_26763736","Intergenic"
"20677","NC_031770.1",26767848,"NC_031770.1_26767848","Intergenic"
"20678","NC_031770.1",26767899,"NC_031770.1_26767899","Intergenic"
"20680","NC_031770.1",26768011,"NC_031770.1_26768011","Intergenic"
"20698","NC_031770.1",27581750,"NC_031770.1_27581750","Intergenic"
"20700","NC_031770.1",27683530,"NC_031770.1_27683530","Intergenic"
"20701","NC_031770.1",27683570,"NC_031770.1_27683570","Intergenic"
"20702","NC_031770.1",27683580,"NC_031770.1_27683580","Intergenic"
"20703","NC_031770.1",27732312,"NC_031770.1_27732312","Intergenic"
"20704","NC_031770.1",27732338,"NC_031770.1_27732338","Intergenic"
"20705","NC_031770.1",27732343,"NC_031770.1_27732343","Intergenic"
"20706","NC_031770.1",27732361,"NC_031770.1_27732361","Intergenic"
"20707","NC_031770.1",27732394,"NC_031770.1_27732394","Intergenic"
"20708","NC_031770.1",27732417,"NC_031770.1_27732417","Intergenic"
"20712","NC_031770.1",27839610,"NC_031770.1_27839610","Gene body"
"20713","NC_031770.1",27839620,"NC_031770.1_27839620","Gene body"
"20714","NC_031770.1",27839679,"NC_031770.1_27839679","Gene body"
"20716","NC_031770.1",27839708,"NC_031770.1_27839708","Gene body"
"20807","NC_031770.1",28908929,"NC_031770.1_28908929","Intergenic"
"20808","NC_031770.1",28908937,"NC_031770.1_28908937","Intergenic"
"20809","NC_031770.1",28908939,"NC_031770.1_28908939","Intergenic"
"20810","NC_031770.1",28908945,"NC_031770.1_28908945","Intergenic"
"20811","NC_031770.1",28908947,"NC_031770.1_28908947","Intergenic"
"20812","NC_031770.1",28909037,"NC_031770.1_28909037","Intergenic"
"20813","NC_031770.1",28909042,"NC_031770.1_28909042","Intergenic"
"20814","NC_031770.1",28909072,"NC_031770.1_28909072","Intergenic"
"20815","NC_031770.1",28909108,"NC_031770.1_28909108","Intergenic"
"20816","NC_031770.1",28909118,"NC_031770.1_28909118","Intergenic"
"20817","NC_031770.1",28909145,"NC_031770.1_28909145","Intergenic"
"20818","NC_031770.1",28909165,"NC_031770.1_28909165","Intergenic"
"20819","NC_031770.1",28909175,"NC_031770.1_28909175","Intergenic"
"20820","NC_031770.1",28909182,"NC_031770.1_28909182","Intergenic"
"20821","NC_031770.1",28909184,"NC_031770.1_28909184","Intergenic"
"20888","NC_031770.1",29492150,"NC_031770.1_29492150","Intergenic"
"20896","NC_031770.1",29492463,"NC_031770.1_29492463","Intergenic"
"20899","NC_031770.1",29492521,"NC_031770.1_29492521","Intergenic"
"20944","NC_031770.1",30259120,"NC_031770.1_30259120","Intergenic"
"20950","NC_031770.1",30545398,"NC_031770.1_30545398","Intergenic"
"20961","NC_031770.1",30622073,"NC_031770.1_30622073","Intergenic"
"20999","NC_031770.1",30679770,"NC_031770.1_30679770","Intergenic"
"21093","NC_031770.1",30892819,"NC_031770.1_30892819","Intergenic"
"21095","NC_031770.1",30946177,"NC_031770.1_30946177","Gene body"
"21097","NC_031770.1",30946217,"NC_031770.1_30946217","Gene body"
"21102","NC_031770.1",30946407,"NC_031770.1_30946407","Gene body"
"21122","NC_031770.1",30964551,"NC_031770.1_30964551","Promoter"
"21124","NC_031770.1",30964588,"NC_031770.1_30964588","Promoter"
"21223","NC_031770.1",32036051,"NC_031770.1_32036051","Intergenic"
"21227","NC_031770.1",32065158,"NC_031770.1_32065158","Intergenic"
"21228","NC_031770.1",32065896,"NC_031770.1_32065896","Intergenic"
"21274","NC_031770.1",32234770,"NC_031770.1_32234770","Intergenic"
"21301","NC_031770.1",32963946,"NC_031770.1_32963946","Intergenic"
"21302","NC_031770.1",32963969,"NC_031770.1_32963969","Intergenic"
"21306","NC_031770.1",33055533,"NC_031770.1_33055533","Intergenic"
"21307","NC_031770.1",33055556,"NC_031770.1_33055556","Intergenic"
"21308","NC_031770.1",33055558,"NC_031770.1_33055558","Intergenic"
"21313","NC_031770.1",33055710,"NC_031770.1_33055710","Intergenic"
"21366","NC_031770.1",34231045,"NC_031770.1_34231045","Intergenic"
"21476","NC_031770.1",35443438,"NC_031770.1_35443438","Intergenic"
"21478","NC_031770.1",35566956,"NC_031770.1_35566956","TSS"
"21536","NC_031770.1",36492028,"NC_031770.1_36492028","Gene body"
"21554","NC_031770.1",36527399,"NC_031770.1_36527399","Gene body"
"21574","NC_031770.1",36817693,"NC_031770.1_36817693","Intergenic"
"21579","NC_031770.1",37702785,"NC_031770.1_37702785","Intergenic"
"21580","NC_031770.1",37705503,"NC_031770.1_37705503","Intergenic"
"21581","NC_031770.1",37705517,"NC_031770.1_37705517","Intergenic"
"21656","NC_031770.1",39457907,"NC_031770.1_39457907","Intergenic"
"21684","NC_031770.1",39652131,"NC_031770.1_39652131","Intergenic"
"21693","NC_031770.1",40004755,"NC_031770.1_40004755","Intergenic"
"21713","NC_031770.1",40200701,"NC_031770.1_40200701","Gene body"
"21763","NC_031770.1",41135099,"NC_031770.1_41135099","Intergenic"
"21788","NC_031770.1",41261549,"NC_031770.1_41261549","Up- or downstream"
"21793","NC_031770.1",41332083,"NC_031770.1_41332083","Intergenic"
"21794","NC_031770.1",41332176,"NC_031770.1_41332176","Intergenic"
"21796","NC_031770.1",41332270,"NC_031770.1_41332270","Intergenic"
"21809","NC_031770.1",41375527,"NC_031770.1_41375527","Promoter"
"21810","NC_031770.1",41375605,"NC_031770.1_41375605","Promoter"
"21825","NC_031770.1",41459758,"NC_031770.1_41459758","Intergenic"
"21909","NC_031770.1",41624396,"NC_031770.1_41624396","Intergenic"
"21989","NC_031770.1",42377182,"NC_031770.1_42377182","Intergenic"
"21990","NC_031770.1",42377185,"NC_031770.1_42377185","Intergenic"
"21991","NC_031770.1",42377200,"NC_031770.1_42377200","Intergenic"
"21996","NC_031770.1",42388950,"NC_031770.1_42388950","Up- or downstream"
"21998","NC_031770.1",42388956,"NC_031770.1_42388956","Up- or downstream"
"22001","NC_031770.1",42388995,"NC_031770.1_42388995","Up- or downstream"
"22002","NC_031770.1",42389005,"NC_031770.1_42389005","Up- or downstream"
"22003","NC_031770.1",42389016,"NC_031770.1_42389016","Up- or downstream"
"22004","NC_031770.1",42389041,"NC_031770.1_42389041","Up- or downstream"
"22007","NC_031770.1",42389073,"NC_031770.1_42389073","Up- or downstream"
"22008","NC_031770.1",42389085,"NC_031770.1_42389085","Up- or downstream"
"22009","NC_031770.1",42389110,"NC_031770.1_42389110","Up- or downstream"
"22011","NC_031770.1",42389160,"NC_031770.1_42389160","Up- or downstream"
"22012","NC_031770.1",42389172,"NC_031770.1_42389172","Up- or downstream"
"22016","NC_031770.1",42389240,"NC_031770.1_42389240","Up- or downstream"
"22019","NC_031770.1",42389264,"NC_031770.1_42389264","Up- or downstream"
"22062","NC_031770.1",42439905,"NC_031770.1_42439905","Promoter"
"22096","NC_031770.1",43033477,"NC_031770.1_43033477","Intergenic"
"22115","NC_031770.1",43106750,"NC_031770.1_43106750","Gene body"
"22116","NC_031770.1",43106779,"NC_031770.1_43106779","Gene body"
"22117","NC_031770.1",43106798,"NC_031770.1_43106798","Gene body"
"22119","NC_031770.1",43106852,"NC_031770.1_43106852","Gene body"
"22120","NC_031770.1",43106873,"NC_031770.1_43106873","Gene body"
"22121","NC_031770.1",43106882,"NC_031770.1_43106882","Gene body"
"22122","NC_031770.1",43106898,"NC_031770.1_43106898","Gene body"
"22179","NC_031770.1",43883147,"NC_031770.1_43883147","Intergenic"
"22181","NC_031770.1",43951014,"NC_031770.1_43951014","Intergenic"
"22231","NC_031770.1",44017342,"NC_031770.1_44017342","Intergenic"
"22333","NC_031770.1",45926875,"NC_031770.1_45926875","Gene body"
"22352","NC_031770.1",46369430,"NC_031770.1_46369430","Intergenic"
"22372","NC_031770.1",46939379,"NC_031770.1_46939379","Intergenic"
"22427","NC_031770.1",47124300,"NC_031770.1_47124300","Intergenic"
"22428","NC_031770.1",47124326,"NC_031770.1_47124326","Intergenic"
"22429","NC_031770.1",47124333,"NC_031770.1_47124333","Intergenic"
"22432","NC_031770.1",47124396,"NC_031770.1_47124396","Intergenic"
"22438","NC_031770.1",47510845,"NC_031770.1_47510845","Intergenic"
"22441","NC_031770.1",47510961,"NC_031770.1_47510961","Intergenic"
"22461","NC_031770.1",47917524,"NC_031770.1_47917524","Intergenic"
"22483","NC_031770.1",48135660,"NC_031770.1_48135660","Intergenic"
"22489","NC_031770.1",48135787,"NC_031770.1_48135787","Intergenic"
"22492","NC_031770.1",48135813,"NC_031770.1_48135813","Intergenic"
"22497","NC_031770.1",48135902,"NC_031770.1_48135902","Intergenic"
"22602","NC_031770.1",49681886,"NC_031770.1_49681886","Intergenic"
"22672","NC_031770.1",50286328,"NC_031770.1_50286328","Intergenic"
"22673","NC_031770.1",50286349,"NC_031770.1_50286349","Intergenic"
"22674","NC_031770.1",50286370,"NC_031770.1_50286370","Intergenic"
"22684","NC_031770.1",50370446,"NC_031770.1_50370446","Promoter"
"22694","NC_031770.1",50449162,"NC_031770.1_50449162","Intergenic"
"22699","NC_031770.1",50449247,"NC_031770.1_50449247","Intergenic"
"22702","NC_031770.1",50465650,"NC_031770.1_50465650","Promoter"
"22703","NC_031770.1",50465686,"NC_031770.1_50465686","Promoter"
"22717","NC_031770.1",50585863,"NC_031770.1_50585863","Intergenic"
"22732","NC_031770.1",51504113,"NC_031770.1_51504113","Up- or downstream"
"22738","NC_031770.1",51892087,"NC_031770.1_51892087","Intergenic"
"22740","NC_031770.1",51892116,"NC_031770.1_51892116","Intergenic"
"22743","NC_031770.1",51892203,"NC_031770.1_51892203","Intergenic"
"22756","NC_031770.1",52283802,"NC_031770.1_52283802","Promoter"
"22757","NC_031770.1",52283804,"NC_031770.1_52283804","Promoter"
"22758","NC_031770.1",52283810,"NC_031770.1_52283810","Promoter"
"22786","NC_031770.1",53058116,"NC_031770.1_53058116","Intergenic"
"22818","NC_031770.1",53776287,"NC_031770.1_53776287","Intergenic"
"22819","NC_031770.1",53776311,"NC_031770.1_53776311","Intergenic"
"22893","NC_031770.1",55181039,"NC_031770.1_55181039","Intergenic"
"22990","NC_031770.1",55827885,"NC_031770.1_55827885","Up- or downstream"
"23086","NC_031770.1",56946650,"NC_031770.1_56946650","Gene body"
"23164","NC_031770.1",57757535,"NC_031770.1_57757535","Intergenic"
"23176","NC_031770.1",57866324,"NC_031770.1_57866324","Intergenic"
"23180","NC_031770.1",57866391,"NC_031770.1_57866391","Intergenic"
"23181","NC_031770.1",57866410,"NC_031770.1_57866410","Intergenic"
"23197","NC_031770.1",58262919,"NC_031770.1_58262919","Gene body"
"23198","NC_031770.1",58262968,"NC_031770.1_58262968","Gene body"
"23224","NC_031770.1",58378540,"NC_031770.1_58378540","Promoter"
"23232","NC_031770.1",58933756,"NC_031770.1_58933756","TSS"
"23403","NC_031770.1",61544167,"NC_031770.1_61544167","TSS"
"23422","NC_031770.1",61695878,"NC_031770.1_61695878","Intergenic"
"23484","NC_031770.1",63485943,"NC_031770.1_63485943","Intergenic"
"23494","NC_031770.1",64262399,"NC_031770.1_64262399","Gene body"
"23504","NC_031770.1",64719876,"NC_031770.1_64719876","Intergenic"
"23505","NC_031770.1",64719886,"NC_031770.1_64719886","Intergenic"
"23579","NC_031770.1",65217965,"NC_031770.1_65217965","Up- or downstream"
"23664","NC_031770.1",66318408,"NC_031770.1_66318408","Intergenic"
"23715","NC_031770.1",67957850,"NC_031770.1_67957850","Promoter"
"23725","NC_031770.1",67957910,"NC_031770.1_67957910","Gene body"
"23764","NC_031770.1",68022105,"NC_031770.1_68022105","Promoter"
"23987","NC_031770.1",70351709,"NC_031770.1_70351709","Promoter"
"23989","NC_031770.1",70351778,"NC_031770.1_70351778","TSS"
"24037","NC_031770.1",71589995,"NC_031770.1_71589995","Intergenic"
"24039","NC_031770.1",71590091,"NC_031770.1_71590091","Intergenic"
"24098","NC_031770.1",72510952,"NC_031770.1_72510952","Up- or downstream"
"24317","NC_031770.1",73413628,"NC_031770.1_73413628","Intergenic"
"24318","NC_031770.1",73413639,"NC_031770.1_73413639","Intergenic"
"24320","NC_031770.1",73413692,"NC_031770.1_73413692","Intergenic"
"24321","NC_031770.1",73413728,"NC_031770.1_73413728","Intergenic"
"24354","NC_031770.1",75465327,"NC_031770.1_75465327","Gene body"
"24362","NC_031770.1",75718157,"NC_031770.1_75718157","Intergenic"
"24366","NC_031770.1",76450844,"NC_031770.1_76450844","Up- or downstream"
"24372","NC_031770.1",76799800,"NC_031770.1_76799800","Intergenic"
"24425","NC_031770.1",77045135,"NC_031770.1_77045135","Gene body"
"24426","NC_031770.1",77045161,"NC_031770.1_77045161","Gene body"
"24427","NC_031770.1",77045180,"NC_031770.1_77045180","Gene body"
"24431","NC_031770.1",77045300,"NC_031770.1_77045300","Gene body"
"24558","NC_031770.1",78449957,"NC_031770.1_78449957","Intergenic"
"24559","NC_031770.1",78449969,"NC_031770.1_78449969","Intergenic"
"24605","NC_031770.1",78837181,"NC_031770.1_78837181","Up- or downstream"
"24704","NC_031770.1",79511757,"NC_031770.1_79511757","Promoter"
"24726","NC_031770.1",80828960,"NC_031770.1_80828960","Promoter"
"24727","NC_031770.1",80829015,"NC_031770.1_80829015","Promoter"
"24728","NC_031770.1",80829023,"NC_031770.1_80829023","Promoter"
"24729","NC_031770.1",80829028,"NC_031770.1_80829028","Promoter"
"24730","NC_031770.1",80829045,"NC_031770.1_80829045","Promoter"
"24731","NC_031770.1",80829071,"NC_031770.1_80829071","Promoter"
"24733","NC_031770.1",80829123,"NC_031770.1_80829123","Promoter"
"24734","NC_031770.1",80829132,"NC_031770.1_80829132","Promoter"
"24763","NC_031770.1",80974501,"NC_031770.1_80974501","Promoter"
"24795","NC_031770.1",81409768,"NC_031770.1_81409768","Intergenic"
"24796","NC_031770.1",81409781,"NC_031770.1_81409781","Intergenic"
"24797","NC_031770.1",81409804,"NC_031770.1_81409804","Intergenic"
"24799","NC_031770.1",81409957,"NC_031770.1_81409957","Intergenic"
"24800","NC_031770.1",81640448,"NC_031770.1_81640448","Intergenic"
"24803","NC_031770.1",81741390,"NC_031770.1_81741390","Intergenic"
"24838","NC_031770.1",82089530,"NC_031770.1_82089530","Intergenic"
"24847","NC_031770.1",82147814,"NC_031770.1_82147814","Intergenic"
"24919","NC_031770.1",83100059,"NC_031770.1_83100059","Up- or downstream"
"24920","NC_031770.1",83100071,"NC_031770.1_83100071","Up- or downstream"
"24921","NC_031770.1",83100089,"NC_031770.1_83100089","Up- or downstream"
"24958","NC_031770.1",84128218,"NC_031770.1_84128218","Intergenic"
"25021","NC_031770.1",86874033,"NC_031770.1_86874033","Gene body"
"25035","NC_031770.1",87380005,"NC_031770.1_87380005","Intergenic"
"25069","NC_031770.1",88455977,"NC_031770.1_88455977","Intergenic"
"25098","NC_031770.1",88825845,"NC_031770.1_88825845","Intergenic"
"25106","NC_031770.1",88862150,"NC_031770.1_88862150","Gene body"
"25220","NC_031770.1",90188507,"NC_031770.1_90188507","Intergenic"
"25241","NC_031770.1",90882272,"NC_031770.1_90882272","Gene body"
"25392","NC_031770.1",95485069,"NC_031770.1_95485069","Intergenic"
"25393","NC_031770.1",95485076,"NC_031770.1_95485076","Intergenic"
"25394","NC_031770.1",95485107,"NC_031770.1_95485107","Intergenic"
"25395","NC_031770.1",95485114,"NC_031770.1_95485114","Intergenic"
"25465","NC_031770.1",96467088,"NC_031770.1_96467088","Intergenic"
"25482","NC_031770.1",96688970,"NC_031770.1_96688970","Intergenic"
"25602","NC_031770.1",98631035,"NC_031770.1_98631035","Gene body"
"25626","NC_031770.1",98833607,"NC_031770.1_98833607","Intergenic"
"25815","NC_031770.1",103541502,"NC_031770.1_103541502","Intergenic"
"25819","NC_031770.1",103668265,"NC_031770.1_103668265","Promoter"
"25848","NC_031770.1",103923979,"NC_031770.1_103923979","Intergenic"
"25849","NC_031770.1",103923990,"NC_031770.1_103923990","Intergenic"
"25882","NC_031770.1",104305096,"NC_031770.1_104305096","Up- or downstream"
"25883","NC_031770.1",104305145,"NC_031770.1_104305145","Up- or downstream"
"25884","NC_031770.1",104305168,"NC_031770.1_104305168","Up- or downstream"
"25885","NC_031770.1",104305181,"NC_031770.1_104305181","Up- or downstream"
"25918","NC_031770.1",106176524,"NC_031770.1_106176524","Intergenic"
"25921","NC_031770.1",106176589,"NC_031770.1_106176589","Intergenic"
"26002","NC_031770.1",107425113,"NC_031770.1_107425113","TSS"
"26024","NC_031770.1",107530486,"NC_031770.1_107530486","Up- or downstream"
"26025","NC_031770.1",107530495,"NC_031770.1_107530495","Up- or downstream"
"26037","NC_031770.1",107711009,"NC_031770.1_107711009","Intergenic"
"26054","NC_031770.1",108030069,"NC_031770.1_108030069","Gene body"
"26056","NC_031770.1",108030145,"NC_031770.1_108030145","Gene body"
"26087","NC_031770.1",108929698,"NC_031770.1_108929698","TSS"
"26137","NC_031770.1",108966925,"NC_031770.1_108966925","Up- or downstream"
"26149","NC_031770.1",109650000,"NC_031770.1_109650000","Promoter"
"26151","NC_031770.1",109692660,"NC_031770.1_109692660","Up- or downstream"
"26155","NC_031770.1",109692674,"NC_031770.1_109692674","Up- or downstream"
"26156","NC_031770.1",109692842,"NC_031770.1_109692842","Up- or downstream"
"26173","NC_031770.1",109705999,"NC_031770.1_109705999","Intergenic"
"26230","NC_031770.1",109892899,"NC_031770.1_109892899","Intergenic"
"26236","NC_031770.1",109914212,"NC_031770.1_109914212","Gene body"
"26253","NC_031770.1",109950336,"NC_031770.1_109950336","Intergenic"
"26272","NC_031770.1",109975225,"NC_031770.1_109975225","Intergenic"
"26281","NC_031770.1",109975330,"NC_031770.1_109975330","Intergenic"
"26288","NC_031770.1",110028564,"NC_031770.1_110028564","TSS"
"26310","NC_031770.1",110304467,"NC_031770.1_110304467","Gene body"
"26316","NC_031770.1",110304523,"NC_031770.1_110304523","Gene body"
"26332","NC_031770.1",110466947,"NC_031770.1_110466947","Gene body"
"26341","NC_031770.1",110502130,"NC_031770.1_110502130","Up- or downstream"
"26357","NC_031770.1",110689018,"NC_031770.1_110689018","Intergenic"
"26374","NC_031770.1",111269729,"NC_031770.1_111269729","Intergenic"
"26382","NC_031770.1",111269911,"NC_031770.1_111269911","Intergenic"
"26434","NC_031770.1",111453353,"NC_031770.1_111453353","Gene body"
"26443","NC_031770.1",111465298,"NC_031770.1_111465298","Gene body"
"26445","NC_031770.1",111465358,"NC_031770.1_111465358","Gene body"
"26446","NC_031770.1",111506093,"NC_031770.1_111506093","Gene body"
"26471","NC_031771.1",103274,"NC_031771.1_103274","Intergenic"
"26472","NC_031771.1",103342,"NC_031771.1_103342","Intergenic"
"26473","NC_031771.1",103348,"NC_031771.1_103348","Intergenic"
"26474","NC_031771.1",103358,"NC_031771.1_103358","Intergenic"
"26475","NC_031771.1",103373,"NC_031771.1_103373","Intergenic"
"26477","NC_031771.1",103386,"NC_031771.1_103386","Intergenic"
"26480","NC_031771.1",103426,"NC_031771.1_103426","Intergenic"
"26481","NC_031771.1",103466,"NC_031771.1_103466","Intergenic"
"26494","NC_031771.1",479798,"NC_031771.1_479798","Intergenic"
"26495","NC_031771.1",479849,"NC_031771.1_479849","Intergenic"
"26508","NC_031771.1",510193,"NC_031771.1_510193","Intergenic"
"26509","NC_031771.1",510198,"NC_031771.1_510198","Intergenic"
"26512","NC_031771.1",613193,"NC_031771.1_613193","Intergenic"
"26513","NC_031771.1",613209,"NC_031771.1_613209","Intergenic"
"26514","NC_031771.1",613230,"NC_031771.1_613230","Intergenic"
"26515","NC_031771.1",613260,"NC_031771.1_613260","Intergenic"
"26516","NC_031771.1",613316,"NC_031771.1_613316","Intergenic"
"26517","NC_031771.1",613324,"NC_031771.1_613324","Intergenic"
"26518","NC_031771.1",613329,"NC_031771.1_613329","Intergenic"
"26519","NC_031771.1",613367,"NC_031771.1_613367","Intergenic"
"26524","NC_031771.1",626947,"NC_031771.1_626947","Intergenic"
"26525","NC_031771.1",626958,"NC_031771.1_626958","Intergenic"
"26526","NC_031771.1",626988,"NC_031771.1_626988","Intergenic"
"26527","NC_031771.1",627043,"NC_031771.1_627043","Intergenic"
"26528","NC_031771.1",627075,"NC_031771.1_627075","Intergenic"
